Groep;Nr;Concept;Wat het is;Kleinste test;Kosten test;Uitsluitsel na;Marktbron
Verpakken en bundelen;1;Overstapkit Koleston naar Sens.us;Omrekentabel per nuance plus proefpakket en begeleiding;Tien klanten bellen met de rekensom;250;4 weken;
Verpakken en bundelen;2;Starterspakket stoelhuurders;Een doos met alles om morgen te beginnen;Vijf pakketten uit bestaande voorraad;0;6 weken;https://www.mijnsalon.nl/stoelverhuur-kapsalon/
Verpakken en bundelen;3;Kleurcorrectie-box;Kleurverwijderaar, toner, oxydant en stappenkaart;Twintig boxen uit voorraad;150-300;6 weken;
Verpakken en bundelen;4;Blondpakket;Blondeerpoeder, ontwikkelaar, bond, folie en techniekkaart;Twintig pakketten uit voorraad;150-300;6 weken;
Verpakken en bundelen;5;Seizoenskits;Zomer UV-bescherming, winter herstel en hoofdhuid;Een kit per seizoen;150-300;1 seizoen;
Verpakken en bundelen;6;Reisformaten en proefflacons;Kleine formaten van de eigen lijn;Drie producten laten vullen;400-800;2 maanden;
Verpakken en bundelen;7;Outletkanaal dode voorraad;Trage artikelen afprijzen op een outletpagina;Honderd artikelen doorlichten;0;2 weken;
Verpakken en bundelen;8;Gepersonaliseerd salontextiel;Kapmantels en handdoeken met de salonnaam;Vijftig stuks voor drie salons;350-600;6 weken;
Verpakken en bundelen;9;White label voor de salon zelf;Eigen label onder het merk van de salon;Een product voor een salon;1500-3000;3 maanden;
Verpakken en bundelen;10;Head spa in een doos;Apparaat, stomer, camera, producten en opleiding;Een demoset in de zaak;2000-3500;3 maanden;https://www.poweryourcurls.com/japanese-head-spa-statistics-2026/
Nieuwe klantgroepen;11;Barbershops als eigen segment;Eigen landingspagina, merkenset en nieuwsbrief;Een ankermerk bij vijf barbers;500-900;6 weken;https://www.mordorintelligence.com/industry-reports/europe-mens-grooming-products-market
Nieuwe klantgroepen;12;Kappersopleidingen;Studentenkits, scholenkorting, gastlessen;Een school benaderen;300-800;1 schooljaar;https://www.ondernemersbelang.nl/nieuws/de-kappersbranche-bloeit-een-verkenning-van-groei-innovatie-en-duurzaamheid/
Nieuwe klantgroepen;13;Thuis- en mobiele kappers;Lage besteldrempel en abonnement;Aanbod aan bestaande zzp-klanten;0;6 weken;https://www.mijnsalon.nl/stoelverhuur-kapsalon/
Nieuwe klantgroepen;14;Woonzorgcentra en thuiszorgkappers;Raamovereenkomsten en vaste leverrondes;Drie centra benaderen;0;3 maanden;
Nieuwe klantgroepen;15;Nagelsalons en schoonheidssalons;Aangrenzend assortiment via bestaande relatie;Beperkte lijn als test;400-800;2 maanden;https://www.bruzz.be/actua/economie/aantal-nagelsalons-verdrievoudigd-beauty-en-lage-instapzaken-zitten-de-lift-2026-05-21
Nieuwe klantgroepen;16;Hotels, spa's en wellness;Eigen label in grootverpakking;Twee hotels benaderen;0;3 maanden;
Nieuwe klantgroepen;17;Film, theater en televisie;Specialistische kleur en haarwerk;Een productiehuis benaderen;0;6 maanden;
Nieuwe klantgroepen;18;Medisch haarwerk en oncologie;Haarwerken met tegemoetkoming ziekteverzekering;Gesprek met een ziekenhuis;0;6 maanden;
Diensten;19;Kleurformuledossier per klant;Formules bewaren en opvraagbaar maken;Handmatig voor tien grootste klanten;0;3 maanden;
Diensten;20;Technische kleurhotline;Vast nummer of WhatsApp, antwoord binnen het uur;Aankondigen bij twintig klanten;0;6 weken;
Diensten;21;Voorraadbeheer op locatie;Kast tellen en aanvullen, eventueel consignatie;Bij twee grote klanten;0;3 maanden;
Diensten;22;Salon-audit;Een uur meekijken plus schriftelijk advies;Bij drie vaste klanten;0;4 weken;
Diensten;23;Doorverkoop-coaching;Salons leren doorverkopen aan hun eigen klanten;Een sessie bij een salon;0;2 maanden;https://www.fortunebusinessinsights.com/hair-care-market-102555
Diensten;24;Betaalde workshops;Avondworkshops in de eigen zaak;Een avond, acht deelnemers;150;direct;https://www.fortunebusinessinsights.com/hair-care-market-102555
Diensten;25;Abonnement verbruiksartikelen;Vaste maandlevering aangepast aan verbruik;Aanbod aan tien klanten;0;3 maanden;https://www.guidance.nl/nl/webshop-voor-groothandel
Diensten;26;Scharenslijp- en reparatieservice;Inleveren aan de toonbank via bestaande partner;Aankondigen aan de toonbank;0-200;2 maanden;
Diensten;27;Apparatuurverhuur en inruil;Per week verhuren, oude toestellen inruilen;Een toestel beschikbaar stellen;0;2 maanden;
Kanalen;28;Hairstation als testkanaal;Niches eerst op Bol proberen;Twintig artikelen uit voorraad;300-600;6 weken;https://boloo.co/blog/commissie-bol-com
Kanalen;29;Amazon.de naast Bol;Duitse teksten staan er toch al;Tien artikelen listen;300-600;2 maanden;https://www.selbststaendig.de/friseurbedarf
Kanalen;30;Bezorgronde in de Kempen;Vaste dag en route binnen 30 km;Vier weken een dag rijden;600-1000;6 weken;
Kanalen;31;Afhaalkluis buiten openingstijden;Bestellen tot laat, ophalen wanneer het uitkomt;Een kast met code;250-600;2 maanden;
Kanalen;32;Bestellen via WhatsApp;Foto van een lege fles volstaat;Nummer aanzetten bij twintig klanten;0;3 weken;
Kanalen;33;Kleurenwand als contentmachine;Korte video's met formules en correcties;Tien video's opnemen;300;3 maanden;
