Categorie;Product;Indicatieve inkoop excl;Bol prijs incl;Commissie %;Verzendkosten;Bol omzet excl;Netto per verkoop;Marge %;Verkopen voor EUR 1000;Bol geschikt;Leverancier-URL;Marktbron
Apparatuur;Complete head spa-set;650,00;1299,00;12;15,00;1073,55;251,68;23;4;ja;https://www.gammabross.com/en/head-spa;https://www.poweryourcurls.com/japanese-head-spa-statistics-2026/
Apparatuur;Hoofdhuidcamera met software;280,00;599,00;12;7,50;495,04;134,67;27;7;ja;https://medirelaxa.com/en/product/scalp-analysis-device/;https://www.poweryourcurls.com/japanese-head-spa-statistics-2026/
Apparatuur;LED-hoofdhuidkap;220,00;499,00;12;7,50;412,40;124,03;30;8;ja;;https://www.coherentmarketinsights.com/market-insight/scalp-care-market-5132
Apparatuur;Infrarood kleurversneller;260,00;549,00;12;12,00;453,72;114,85;25;9;ja;;https://www.gammabross.com/en/head-spa
Apparatuur;Premium schaar Japans;180,00;389,00;12;3,50;321,49;90,32;28;11;deels;https://www.kasho.com/;
Apparatuur;Head spa stoomunit;180,00;399,00;12;12,00;329,75;88,88;27;11;deels;https://www.gammabross.com/en/head-spa;https://www.salontoday.com/articles/why-head-spa-services-are-the-scalp-care-trend-every-salon-should-explore
Apparatuur;Ultrasoon haarverzorgingsapparaat;120,00;279,00;12;5,50;230,58;70,61;31;14;ja;;
Extensions;Extensions starterset;150,00;329,00;15;7,50;271,90;64,06;24;16;ja;;https://www.persistencemarketresearch.com/market-research/hair-extensions-market.asp
Apparatuur;Head spa massage-apparaat;45,00;149,00;12;5,50;123,14;53,77;44;19;ja;;https://heygoldie.com/blog/head-spa-service-cost
Apparatuur;Multistyler-set;85,00;189,00;12;5,50;156,20;42,03;27;24;ja;;https://behindthechair.com/articles/springs-hottest-haircare-launches-for-2026/
Apparatuur;Barbermachine JRL-klasse;95,00;199,00;12;5,50;164,46;39,09;24;26;ja;https://jrlusa.com/;https://www.mordorintelligence.com/industry-reports/europe-mens-grooming-products-market
Apparatuur;Professionele fohn Parlux-klasse;75,00;169,00;12;5,50;139,67;37,90;27;26;ja;https://www.parlux.it/;
Apparatuur;Hogesnelheidsfohn Laifen-klasse;65,00;149,00;12;5,50;123,14;33,77;27;30;ja;https://www.laifentech.com/;https://behindthechair.com/articles/springs-hottest-haircare-launches-for-2026/
Trichologie;Trichologie-kuur 3 maanden;65,00;149,00;15;2,88;123,14;31,92;26;31;ja;https://neofollics.com/;https://www.theinsightpartners.com/reports/hair-supplements-market
Scalp en bond;Bond-repair set 2 delen;22,00;59,95;15;3,50;49,55;14,06;28;71;ja;https://www.k18hair.com/;https://beautymatter.com/articles/the-haircare-trends-set-to-define-2026
Getextureerd haar;Krulset 3 producten;14,00;44,95;15;3,50;37,15;11,92;32;84;ja;https://curlsmith.com/;https://www.indexbox.io/store/european-union-kw-deep-conditioner-for-curly-hair-840-market-analysis-forecast-size-trends-and-insights/
Scalp en bond;Hoofdhuidserum 100 ml;6,50;29,95;15;2,88;24,75;9,89;40;101;ja;;https://www.sephora.co.uk/inspiration/hair-trend-predictions
Supplementen;Haarsupplement 60 capsules;7,00;24,95;15;2,88;20,62;6,01;29;166;ja;;https://www.theinsightpartners.com/reports/hair-supplements-market
